FIRST_DNAM,FIRST_CHIE,mean_rain,Year,Month
KAMBIA,MAMBOLO,1.2708374,2015,1
KAMBIA,MASUNGBALA,0.95852566,2015,1
KAMBIA,MUNU THALLAH,0.717626,2015,1
KAMBIA,SAMU,0.59763867,2015,1
KAMBIA,TONKO LIMBA,0.9520976,2015,1
KARENE,BUYA,2.2550154,2015,1
KARENE,DIBIA,0.9940193,2015,1
KARENE,GBANTI_KARENE,1.0293878,2015,1
KARENE,LIBEISAYGAHUN/GBOMBAHUN,0.7601704,2015,1
KARENE,MAFONDA MAKEREMBAY,1.3605927,2015,1
KARENE,ROMENDE,0.94549537,2015,1
KARENE,SAFROKO,0.95069766,2015,1
KARENE,SANDA LOKO,0.9506458,2015,1
KARENE,SANDA MAGBOLONTOR,1.0653131,2015,1
KARENE,SANDA TENDARAN,1.0013922,2015,1
KARENE,SELLA LIMBA,0.853459,2015,1
KARENE,TAMBAKHA SIMIBUNGIE,1.0734236,2015,1
KARENE,TAMBAKHA YOBANGIE,1.3729156,2015,1
PORT LOKO,BAKEH LOKO,1.2334591,2015,1
PORT LOKO,BUREH,0.5843253,2015,1
PORT LOKO,KAFFU BULLOM,0.6346503,2015,1
PORT LOKO,KAMASONDO,1.1013149,2015,1
PORT LOKO,KASSEH,0.9100167,2015,1
PORT LOKO,KOYA,2.4670274,2015,1
PORT LOKO,LOKOMASAMA,1.7817518,2015,1
PORT LOKO,MACONTEH,0.7654952,2015,1
PORT LOKO,MAFORKI,1.3345319,2015,1
PORT LOKO,MAKAMA,2.2087584,2015,1
PORT LOKO,MARAMPA,1.2299196,2015,1
PORT LOKO,MASIMERA,1.606498,2015,1
PORT LOKO,THAINKATOPA,1.7708031,2015,1
PORT LOKO,PORT LOKO CITY,1.2059788,2015,1
BO,BADJIA,2.782309,2015,1
BO,BAGBO,2.787766,2015,1
BO,BAGBWE(BAGBE),3.113821,2015,1
BO,BOAMA,2.1130836,2015,1
BO,BONGOR,2.0955389,2015,1
BO,BUMPE NGAO,4.371465,2015,1
BO,GBO,2.0646203,2015,1
BO,JAIAMA,2.2641966,2015,1
BO,KAKUA,2.3471348,2015,1
BO,KOMBOYA,2.533173,2015,1
BO,LUGBU,2.4291391,2015,1
BO,NIAWA LENGA,1.6520406,2015,1
BO,SELENGA,2.2141738,2015,1
BO,TIKONKO,2.399194,2015,1
BO,VALUNIA,2.9147816,2015,1
BO,WONDE,1.7830799,2015,1
BO,BO TOWN,1.2143565,2015,1
BONTHE,BENDU-CHA,1.679744,2015,1
BONTHE,BUM,5.744572,2015,1
BONTHE,DEMA,0.586754,2015,1
BONTHE,IMPERRI,1.8692774,2015,1
BONTHE,JONG,3.2880042,2015,1
BONTHE,KPANDA KEMO,2.8705873,2015,1
BONTHE,KWAMEBAI KRIM,4.530211,2015,1
BONTHE,NONGOBA BULLOM,2.024514,2015,1
BONTHE,SITTIA,1.4804391,2015,1
BONTHE,SOGBENI,3.1572423,2015,1
BONTHE,YAWBEKO,1.6583982,2015,1
BONTHE,BONTHE URBAN,1.9079502,2015,1
MOYAMBA,BAGRUWA,1.7375672,2015,1
MOYAMBA,BUMPEH,2.5704038,2015,1
MOYAMBA,DASSE,1.0874044,2015,1
MOYAMBA,FAKUNYA,1.9601084,2015,1
MOYAMBA,KAGBORO,1.8100594,2015,1
MOYAMBA,KAIYAMBA,1.372492,2015,1
MOYAMBA,KAMAJEI,1.5261056,2015,1
MOYAMBA,KONGBORA,2.016829,2015,1
MOYAMBA,KORI,1.7141957,2015,1
MOYAMBA,KOWA,1.7343422,2015,1
MOYAMBA,LOWER BANTA,2.0716307,2015,1
MOYAMBA,RIBBI,1.9443144,2015,1
MOYAMBA,TIMDALE,1.5836664,2015,1
MOYAMBA,UPPER BANTA,3.1621873,2015,1
PUJEHUN,BARRI,4.6408796,2015,1
PUJEHUN,PERRI,3.1240711,2015,1
PUJEHUN,KABONDE,1.6511878,2015,1
PUJEHUN,KPAKA,3.7185228,2015,1
PUJEHUN,MAKPELE,3.270911,2015,1
PUJEHUN,MALEN,3.4094276,2015,1
PUJEHUN,MONO SAKRIM,1.2606854,2015,1
PUJEHUN,PANGA,3.141123,2015,1
PUJEHUN,PANGA KRIM,1.0692661,2015,1
PUJEHUN,PEJEH (FUTA PEJE),2.028814,2015,1
PUJEHUN,GALLINESS,3.7035732,2015,1
PUJEHUN,SORO GBEMA,6.197347,2015,1
PUJEHUN,SOWA,2.5904622,2015,1
PUJEHUN,YAKEMU KPUKUMU,2.1257763,2015,1
WESTERN RURAL,KOYA RURAL,1.8584929,2015,1
WESTERN RURAL,MOUNTAIN RURAL,0.9327409,2015,1
WESTERN RURAL,WATERLOO RURAL,1.8993053,2015,1
WESTERN RURAL,YORK RURAL,0.60303193,2015,1
WESTERN URBAN,CENTRAL I,4.4259243,2015,1
WESTERN URBAN,CENTRAL II,0.0,2015,1
WESTERN URBAN,EAST I,0.0,2015,1
WESTERN URBAN,EAST II,0.0,2015,1
WESTERN URBAN,EAST III,0.34423694,2015,1
WESTERN URBAN,WEST I,0.0,2015,1
WESTERN URBAN,WEST II,0.0,2015,1
WESTERN URBAN,WEST III,0.4169363,2015,1
KAILAHUN,DEA,12.19616,2015,2
KAILAHUN,JAHN,6.0483985,2015,2
KAILAHUN,JAWIE,5.4325833,2015,2
KAILAHUN,KISSI KAMA,6.0977726,2015,2
KAILAHUN,KISSI TENG,3.9405406,2015,2
KAILAHUN,KISSI TONGI,5.2946367,2015,2
KAILAHUN,KPEJE BONGRE,3.2518704,2015,2
KAILAHUN,KPEJE WEST,5.2260427,2015,2
KAILAHUN,LUAWA,7.388777,2015,2
KAILAHUN,MALEMA,10.829695,2015,2
KAILAHUN,MANDU,7.766908,2015,2
KAILAHUN,NJALUAHUN,3.6502712,2015,2
KAILAHUN,PENGUIA,6.583421,2015,2
KAILAHUN,UPPER BAMBARA,8.252584,2015,2
KAILAHUN,YAWEI,5.8911963,2015,2
KENEMA,DAMA,5.8945093,2015,2
KENEMA,DODO,7.2831745,2015,2
KENEMA,GAURA,7.350879,2015,2
KENEMA,GORAMA MENDE,6.4036026,2015,2
KENEMA,KANDU LEPPIAMA,8.190418,2015,2
KENEMA,KOYA,6.460089,2015,2
KENEMA,LANGRAMA,2.1486335,2015,2
KENEMA,LOWER BAMBARA,8.87887,2015,2
KENEMA,MALEGOHUN,6.3764296,2015,2
KENEMA,NIAWA,5.483573,2015,2
KENEMA,NOMO,6.165815,2015,2
KENEMA,NONGOWA,6.6647773,2015,2
KENEMA,SIMBARU,5.135402,2015,2
KENEMA,SMALL BO,5.874082,2015,2
KENEMA,TUNKIA,8.065214,2015,2
KENEMA,WANDOR,6.374321,2015,2
KENEMA,KENEMA CITY,6.1277213,2015,2
KONO,FIAMA,9.566049,2015,2
KONO,GBANE,9.74145,2015,2
KONO,GBANE KANDOR,6.3081408,2015,2
KONO,GBENSE,6.6027846,2015,2
KONO,GORAMA KONO,7.9990177,2015,2
KONO,KAMARA,11.453031,2015,2
KONO,LEI,17.994059,2015,2
KONO,MAFINDOR,8.513149,2015,2
KONO,NIMIKORO,12.166573,2015,2
